Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1961","1961","An","36952785","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1962","1962","An","35593948","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1963","1963","An","35365873","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1964","1964","An","36112888","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1965","1965","An","36761123","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1966","1966","An","37285884","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1967","1967","An","37913845","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1968","1968","An","38310619","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1969","1969","An","38341384","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1970","1970","An","38850602","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1971","1971","An","39631610","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1972","1972","An","39697796","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1973","1973","An","39317655","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1974","1974","An","39672001","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1975","1975","An","39727290","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1976","1976","An","39509967","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1977","1977","An","39301274","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1978","1978","An","39213244","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1979","1979","An","39042299","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1980","1980","An","38896600","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1981","1981","An","39360107","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1982","1982","An","40259223","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1983","1983","An","40752605","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1984","1984","An","40603756","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1985","1985","An","40859933","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1986","1986","An","41789889","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1987","1987","An","42286179","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1988","1988","An","42864284","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1989","1989","An","43479882","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1990","1990","An","43638364","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1991","1991","An","43857822","E","Estimated value",""
"QCL","Crops and livestock products","001","World","5111","Stocks","02132","Asses","1992","1992","An","44226885","E","Estimated value",""
